iter	Passed	Remaining
0	0	27
1	0	24
2	0	20
3	0	17
4	0	16
5	0	15
6	1	14
7	1	13
8	1	13
9	1	13
10	1	12
11	1	12
12	1	12
13	1	11
14	2	11
15	2	11
16	2	11
17	2	10
18	2	10
19	2	10
20	2	10
21	2	10
22	2	9
23	3	9
24	3	9
25	3	9
26	3	9
27	3	9
28	3	9
29	3	8
30	3	8
31	4	8
32	4	8
33	4	8
34	4	8
35	4	8
36	4	7
37	4	7
38	4	7
39	5	7
40	5	7
41	5	7
42	5	7
43	5	7
44	5	6
45	5	6
46	5	6
47	5	6
48	6	6
49	6	6
50	6	6
51	6	5
52	6	5
53	6	5
54	6	5
55	6	5
56	6	5
57	7	5
58	7	5
59	7	4
60	7	4
61	7	4
62	7	4
63	7	4
64	7	4
65	7	4
66	8	3
67	8	3
68	8	3
69	8	3
70	8	3
71	8	3
72	8	3
73	8	3
74	9	3
75	9	2
76	9	2
77	9	2
78	9	2
79	9	2
80	9	2
81	9	2
82	9	2
83	10	1
84	10	1
85	10	1
86	10	1
87	10	1
88	10	1
89	10	1
90	10	1
91	10	0
92	11	0
93	11	0
94	11	0
95	11	0
96	11	0
97	11	0
98	11	0
99	11	0
